bar_type,seed,agent_id,uncorrected_regret,corrected_regret
passive,12,2,0.028201168851566174,0.028201168851566174
passive,12,3,0.08250548612636525,0.08250548612636525
passive,12,4,0.05987689884675646,0.05987689884675646
passive,12,5,0.12608716448606677,0.12608716448606677
passive,12,6,0.1135107366161586,0.1135107366161586
passive,12,7,0.07115080495318514,0.07115080495318514
passive,12,8,0.059748757917498264,0.059748757917498264
passive,12,9,0.044663233742177635,0.044663233742177635
passive,13,0,0.07465370324519122,0.07465370324519122
passive,13,1,0.05640233770313235,0.05640233770313235
passive,13,2,0.06111493230687273,0.06111493230687273
passive,13,3,0.09424290602824259,0.09424290602824259
passive,13,4,0.043158552097628596,0.043158552097628596
passive,13,5,0.08751475012199775,0.08751475012199775
passive,13,6,0.12715666948354912,0.12715666948354912
passive,13,7,0.13545991577517805,0.13545991577517805
passive,13,8,0.1314671168254027,0.1314671168254027
passive,13,9,0.08596799688499561,0.08596799688499561
passive,14,0,0.06813975760500968,0.06813975760500968
passive,14,1,0.06741996195104463,0.06741996195104463
passive,14,2,0.06136953010631174,0.06136953010631174
passive,14,3,0.16349255616411032,0.16349255616411032
passive,14,4,0.06149767103556994,0.06149767103556994
passive,14,5,0.12223515888379911,0.12223515888379911
passive,14,6,0.04311816456425288,0.04311816456425288
passive,14,7,0.054304317274799084,0.054304317274799084
passive,14,8,0.12878949205735638,0.12878949205735638
passive,14,9,0.09064020395536028,0.09064020395536028
passive,15,0,0.13242053127862063,0.13242053127862063
passive,15,1,0.03995063913843726,0.03995063913843726
passive,15,2,0.0811393117369908,0.0811393117369908
passive,15,3,0.01868822624820293,0.01868822624820293
passive,15,4,0.15438176082263386,0.15438176082263386
passive,15,5,0.008443437605880889,0.008443437605880889
passive,15,6,0.04007878006769546,0.04007878006769546
passive,15,7,0.023360433318567596,0.023360433318567596
passive,15,8,0.16157511458340476,0.16157511458340476
passive,15,9,0.04354129082632581,0.04354129082632581
passive,16,0,0.040415836992963285,0.040415836992963285
passive,16,1,0.07478184417444941,0.07478184417444941
passive,16,2,0.04311816456425288,0.04311816456425288
passive,16,3,0.10752707916712206,0.10752707916712206
passive,16,4,0.11476082046126862,0.11476082046126862
passive,16,5,0.08530956776459242,0.08530956776459242
passive,16,6,0.09273822438369354,0.09273822438369354
passive,16,7,0.0830971408510721,0.0830971408510721
passive,16,8,0.03000251988800733,0.03000251988800733
passive,16,9,0.1201318441854122,0.1201318441854122
passive,17,0,0.09196370471902592,0.09196370471902592
passive,17,1,0.09663591178939057,0.09663591178939057
passive,17,2,0.10809039674344693,0.10809039674344693
passive,17,3,0.028764486427891058,0.028764486427891058
passive,17,4,0.04911387239828319,0.04911387239828319
passive,17,5,0.035278432068072595,0.035278432068072595
passive,17,6,0.0503235687100175,0.0503235687100175
passive,17,7,0.06149767103556994,0.06149767103556994
passive,17,8,0.04370981928895972,0.04370981928895972
passive,17,9,0.08665945539057869,0.08665945539057869
passive,18,0,0.06442096498786291,0.06442096498786291
passive,18,1,0.05610566831124024,0.05610566831124024
passive,18,2,0.12950928771132142,0.12950928771132142
passive,18,3,0.0613815804913055,0.0613815804913055
passive,18,4,0.0926221338394291,0.0926221338394291
passive,18,5,0.09608464459805945,0.09608464459805945
passive,18,6,0.06166619949820385,0.06166619949820385
passive,18,7,0.06707025260752732,0.06707025260752732
passive,18,8,0.06622231602430408,0.06622231602430408
passive,18,9,0.101320169244749,0.101320169244749
passive,19,0,0.03180387092444848,0.03180387092444848
passive,19,1,0.06994110864145082,0.06994110864145082
passive,19,2,0.0998034372152062,0.0998034372152062
passive,19,3,0.09725395337641805,0.09725395337641805
passive,19,4,0.07286440259374381,0.07286440259374381
passive,19,5,0.03706773271951999,0.03706773271951999
passive,19,6,0.10992008492827005,0.10992008492827005
passive,19,7,0.07354381071433314,0.07354381071433314
passive,19,8,0.07475350702606745,0.07475350702606745
passive,19,9,0.016886875211761777,0.016886875211761777
passive,20,0,0.06438057745448722,0.06438057745448722
passive,20,1,0.07102266402392694,0.07102266402392694
passive,20,2,0.12356601779566058,0.12356601779566058
passive,20,3,0.06635045695356229,0.06635045695356229
