attendance,price,profit,welfare,distress_pct,trailing_mean_attendance,convergence_round_attendance,agent_type,bar_type,rounds,seed
4.8,10.0,45.56,37.0067539049784,0.0,3.5,,heuristic,passive,10,95
4.7,10.0,44.59,38.12736729123643,0.0,4.0,,heuristic,passive,10,96
4.8,10.0,45.56,38.0250403325608,0.0,4.0,,heuristic,passive,10,97
5.1,10.0,48.470000000000006,39.91431259197819,0.0,3.0,,heuristic,passive,10,98
4.7,10.0,44.589999999999996,37.70615930755609,0.0,2.5,,heuristic,passive,10,99
4.7,9.816608,43.701679999999996,37.706159307556085,0.0,4.0,,heuristic,regression,10,0
5.3,9.905066666666666,49.91693333333334,45.61414009193764,0.0,4.5,,heuristic,regression,10,1
5.0,9.772320000000002,46.3184,42.217775312098524,0.0,4.5,,heuristic,regression,10,2
4.8,9.820045714285717,44.81618285714286,39.62421502410302,0.0,4.0,,heuristic,regression,10,3
5.0,9.888608000000001,47.028960000000005,40.76209072089357,0.0,4.5,,heuristic,regression,10,4
5.3,9.902986666666667,49.92141333333334,45.50098511487448,0.0,3.5,,heuristic,regression,10,5
4.8,9.908,45.136,40.27270139722184,0.0,3.5,,heuristic,regression,10,6
4.7,9.776240000000001,43.55776000000001,39.06283386502977,0.0,5.0,,heuristic,regression,10,7
5.0,9.8372384,46.750899200000006,38.93660607522502,0.0,3.5,,heuristic,regression,10,8
5.1,9.825813333333336,47.51420000000001,42.90742482687898,0.0,5.5,,heuristic,regression,10,9
4.4,9.903408484848486,41.434816969696975,35.255600220139954,0.0,2.0,,heuristic,regression,10,10
4.4,9.830608695652177,40.98952657004831,33.61575128669399,0.0,3.5,,heuristic,regression,10,11
5.0,9.817888000000002,46.57123200000001,44.02803821313701,0.0,4.5,,heuristic,regression,10,12
4.8,9.743304858757064,44.20745853107345,38.441365690240715,0.0,5.5,,heuristic,regression,10,13
4.5,9.861338803418807,42.0016211965812,30.29360757030787,0.0,2.5,,heuristic,regression,10,14
4.5,9.85142303030303,41.98084606060606,34.48030282638399,0.0,2.0,,heuristic,regression,10,15
