uncorrected_regret,corrected_regret,bar_type,seed,agent_id
0.057500893267735054,0.22774525024967385,regression,3,5
0.023896014400858073,0.193507271233055,regression,3,6
0.07767390798766745,0.2726835761518453,regression,3,7
0.14773037727536362,0.3013942927300932,regression,3,8
0.1282708717404245,0.22712611273312727,regression,3,9
0.026591252363862245,0.026591252363862245,regression,4,0
0.09251774793886597,0.09251774793886597,regression,4,1
0.033431843855924966,0.033431843855924966,regression,4,2
0.11042116119642548,0.11042116119642548,regression,4,3
0.10757751547919069,0.10757751547919069,regression,4,4
0.07633060255262959,0.07633060255262959,regression,4,5
0.040128654799449506,0.040128654799449506,regression,4,6
0.08629682736796712,0.08629682736796712,regression,4,7
0.057081410631059794,0.057081410631059794,regression,4,8
0.11056829214283105,0.11056829214283105,regression,4,9
0.1117650720746001,0.1117650720746001,regression,5,0
0.03246137498492951,0.03246137498492951,regression,5,1
0.02064144108036042,0.02064144108036042,regression,5,2
0.04264752686024536,0.04264752686024536,regression,5,3
0.0702191376885697,0.0702191376885697,regression,5,4
0.04398527343517342,0.04398527343517342,regression,5,5
0.07881492884506085,0.07881492884506085,regression,5,6
0.03856739211266676,0.03856739211266676,regression,5,7
0.03523939771046126,0.03523939771046126,regression,5,8
0.06150332016012226,0.06150332016012226,regression,5,9
0.09132584473152162,0.09132584473152162,regression,6,0
0.03347299718660598,0.03347299718660598,regression,6,1
0.046250520023977316,0.046250520023977316,regression,6,2
0.09885537817540599,0.09885537817540599,regression,6,3
0.059916730736069825,0.059916730736069825,regression,6,4
0.08379046805799459,0.08379046805799459,regression,6,5
0.034359280066408704,0.034359280066408704,regression,6,6
0.03555325806082835,0.03555325806082835,regression,6,7
0.039049008500241275,0.039049008500241275,regression,6,8
0.07004567115646457,0.07004567115646457,regression,6,9
0.061929646675137257,0.061929646675137257,regression,7,0
0.04050353435557453,0.04050353435557453,regression,7,1
0.041448785715213515,0.041448785715213515,regression,7,2
0.07881536650116396,0.07920383827369937,regression,7,3
0.10119290887981539,0.10119290887981539,regression,7,4
0.03768975616542725,0.03807822793796265,regression,7,5
0.05086711907422008,0.05086711907422008,regression,7,6
0.0888798078974966,0.0888798078974966,regression,7,7
0.007062901304834934,0.007062901304834934,regression,7,8
0.04415290540530417,0.04415290540530417,regression,7,9
0.40751433904070666,0.4206299837169522,q_learning,0,0
0.6167906546990255,0.6018736589863387,q_learning,0,1
0.5191553233117917,0.5257974098812315,q_learning,0,2
0.5515637020463053,0.5562359091166699,q_learning,0,3
0.592118447628661,0.5937512702024681,q_learning,0,4
0.6201510880175932,0.6151418240219607,q_learning,0,5
0.602363236270983,0.6136775299107874,q_learning,0,6
0.5209481023542636,0.5126328056776409,q_learning,0,7
0.6263823773700843,0.6136615218075296,q_learning,0,8
0.531974499263254,0.5269652352676215,q_learning,0,9
0.29439779855478565,0.27357056231161814,q_learning,1,0
0.03357560208763289,0.044889895727437006,q_learning,1,1
0.4595545431337799,0.4045177777867669,q_learning,1,2
0.20157862260332346,0.2049146764917729,q_learning,1,3
0.22160320270055042,0.21002226087631357,q_learning,1,4
0.31254728732389064,0.3113092538637742,q_learning,1,5
0.12824528926999013,0.14649833887112626,q_learning,1,6
0.1286315063897117,0.13536134635503383,q_learning,1,7
0.22325203337761537,0.2071847576006951,q_learning,1,8
0.24668620698786375,0.2564958189831191,q_learning,1,9
0.2567135076402093,0.24703203657421247,q_learning,2,0
0.23851485867665057,0.22248797043310636,q_learning,2,1
0.1402916296158649,0.15216924083199407,q_learning,2,2
0.17360038285197107,0.17039246989277976,q_learning,2,3
0.16534985313884212,0.15827258992233587,q_learning,2,4
0.16228608921216675,0.15560361510935175,q_learning,2,5
0.1234589543745714,0.13301228451131047,q_learning,2,6
0.141899872092445,0.13890087512926358,q_learning,2,7
0.18214214084675973,0.15784034345996853,q_learning,2,8
0.06532527304161515,0.05881132740143395,q_learning,2,9
0.38491571652261775,0.36859215888718083,q_learning,3,0
0.20580008292095267,0.19752517377770573,q_learning,3,1
0.314942816507852,0.307062696478296,q_learning,3,2
0.42839905032732,0.4187175792613228,q_learning,3,3
0.3132587241482751,0.30498381500502814,q_learning,3,4
0.27319566544187934,0.26655357887243963,q_learning,3,5
0.24223264253058252,0.2242762623213384,q_learning,3,6
0.3225154994853818,0.3178029048816414,q_learning,3,7
0.4121595992775512,0.3976373926785554,q_learning,3,8
0.3799396046181814,0.3637845754453784,q_learning,3,9
0.33744664382054085,0.12251266623410392,q_learning,4,0
0.39781685283700485,0.21420420366544315,q_learning,4,1
0.4529734738612653,0.18084765638365344,q_learning,4,2
0.46344956293065914,0.24693012863292155,q_learning,4,3
0.6200766537267884,0.309236950465005,q_learning,4,4
0.42705226500354154,0.2302905619514896,q_learning,4,5
0.3834495629306591,0.16294938006814058,q_learning,4,6
