agent_type,bar_type,seed,attendance_mean,price_mean,profit_mean,welfare_mean
heuristic,regression,6,5.899,6.1681283872239385,32.865442918691706,27.703041589877902
heuristic,regression,7,5.75,6.2490263703425155,33.94959418472504,34.31473904886811
heuristic,regression,8,5.779,6.438342839122159,32.878929673034406,40.011827105194996
heuristic,regression,9,5.745,6.442210229786457,31.668488249221998,40.76608673109743
heuristic,regression,10,5.835,5.54986021159315,24.089574426992776,35.415355829357445
heuristic,regression,11,5.725,6.161286910129098,33.114793232005425,40.91856096816837
heuristic,regression,12,5.665,2.857602459460271,11.979476903290806,36.869553397101114
heuristic,regression,13,5.995,7.735390642530878,44.67198055178892,33.59197703956952
heuristic,regression,14,5.626,6.122423451107421,32.943781177227066,34.44886522116972
heuristic,regression,15,5.725,5.941234210456932,32.62823825022278,33.86778427451603
heuristic,regression,16,5.602,6.739690986011205,26.152048752685957,37.216902736052376
heuristic,regression,17,5.665,5.071645533340136,23.987243747376922,36.86502325233176
heuristic,regression,18,5.66,6.1156195952698,31.717485672475092,30.502067817185615
heuristic,regression,19,5.663,3.0462543772838635,12.905994192169048,23.369255102074437
heuristic,regression,20,5.666,2.980359613901529,16.633370896641864,33.09137915424975
heuristic,regression,21,5.709,5.4252598160090715,36.97499142947595,32.31876535588772
heuristic,regression,22,5.664,6.171428332718912,31.919941955141613,38.51055189575162
heuristic,regression,23,5.605,6.0598441551209525,31.85198456729707,33.73965882138147
heuristic,regression,24,5.795,6.151719900916052,33.33639450143626,32.42525750432732
heuristic,regression,25,5.833,5.410064450772144,21.49885477997957,35.3362535735701
heuristic,regression,26,5.498,7.364575378720284,28.804584666402274,32.215066969542995
heuristic,regression,27,5.625,7.127720046474803,26.929596315637458,34.53834855500697
heuristic,regression,28,5.663,6.10651767095717,31.116033048591888,25.922770838140867
heuristic,regression,29,5.864,7.727359505538347,39.31126396979549,36.565139753801894
heuristic,regression,30,5.667,5.184260975384906,25.606001430181223,36.89965225355787
heuristic,regression,31,5.8,5.024994579040612,32.60717431170499,35.6957565660805
heuristic,regression,32,5.799,6.193085772027907,32.54556265726629,32.48725700943676
heuristic,regression,33,5.896,6.269503781990066,35.490466284858165,27.807844541583783
heuristic,regression,34,5.912,6.521866837556632,41.03344566343822,35.05182297637082
heuristic,regression,35,5.834,6.014054841069019,31.498473467800117,36.82010896945866
heuristic,regression,36,5.667,3.0947792310188906,14.898306457467648,23.503219771718033
heuristic,regression,37,5.749,6.182691830378363,32.04901318848426,40.871932958764724
heuristic,regression,38,5.713,6.219262416445963,33.03431702206821,36.86293826140769
heuristic,regression,39,5.627,6.1394261547625195,32.4472342919844,34.397703056794896
heuristic,regression,40,5.835,6.860357962514017,31.21320697147319,38.255130045733424
heuristic,regression,41,5.7,6.08310024372469,33.721733242705,28.463770407781915
heuristic,regression,42,5.334,9.885537392402185,49.922359375546236,33.04181997895175
heuristic,regression,43,5.751,6.131055055638866,32.03003957420463,40.90221361854567
heuristic,regression,44,5.748,6.132665587631977,32.33804731587534,39.298104208555266
heuristic,regression,45,5.697,6.096527162105442,31.302875248028784,33.11448017683243
heuristic,regression,46,5.75,6.489408614223117,37.31432418326971,34.28274109457528
heuristic,regression,47,5.67,3.0411085300578846,13.054807713274052,36.912784919772456
heuristic,regression,48,5.834,6.793316623066734,29.77026770361733,35.46142675436992
heuristic,regression,49,5.605,6.713148149260929,25.765229713841286,37.230442144685995
heuristic,regression,50,5.996,3.3684029075929782,20.31694626000643,32.28632890347932
heuristic,regression,51,5.504,5.823156941090235,26.980014569470704,19.302047044532195
heuristic,regression,52,5.669,6.089464216602107,29.689972169094208,36.865755477070664
heuristic,regression,53,5.769,6.414524780008059,32.331742326639706,39.92522261041902
heuristic,regression,54,5.724,6.287715496860651,29.974635906084522,37.636960773259545
heuristic,regression,55,5.833,3.247771617909269,18.95312116309696,35.37166853282173
heuristic,regression,56,5.603,6.722630096363646,25.956481416126984,37.22017374564889
heuristic,regression,57,5.8,6.034196781092104,31.429972679554368,36.45590521053618
heuristic,regression,58,5.727,6.265372603321498,33.49640373325405,35.18940946355306
heuristic,regression,59,5.776,6.269725147427529,32.75895003264535,39.96948812398301
heuristic,regression,60,5.834,6.626548068060608,41.32715501394462,36.89000689033289
heuristic,regression,61,5.797,6.065336834648486,33.54511645751049,32.487657919547466
heuristic,regression,62,5.604,6.693662242163217,25.59969674588305,37.19392182410875
heuristic,regression,63,5.755,6.107114453553812,32.697311949233885,34.41638740045893
heuristic,regression,64,5.748,6.149122600779318,33.353930775543446,34.400821606069
heuristic,regression,65,5.67,2.838251104088813,11.25824485347676,36.91117340326984
heuristic,regression,66,5.748,6.242745431282805,31.92498084333056,40.85860280828099
heuristic,regression,67,5.669,6.071850937168099,30.160428098403077,34.93105353090961
heuristic,regression,68,5.902,5.9967972992772305,34.06048307043852,27.661612553408187
heuristic,regression,69,5.748,6.312016089699035,32.70841685928156,40.86080057488298
heuristic,regression,70,5.803,6.2097490343090875,33.96140115742811,32.63796321239576
heuristic,regression,71,5.671,6.120663001769669,32.682205760898775,36.972751197425005
heuristic,regression,72,5.667,5.053304942939031,23.746342816528976,36.89316738982669
heuristic,regression,73,5.667,7.303806335238757,38.555507214007804,30.458354724795804
heuristic,regression,74,5.727,6.168845975191747,33.11209685227911,35.18652520108432
heuristic,regression,75,5.724,6.054410689380547,31.923474580918963,34.86987423489266
heuristic,regression,76,5.702,5.309094244850565,35.63099550877402,36.31168851663174
heuristic,regression,77,5.503,7.334731873120154,28.905041646734045,32.22717730948157
heuristic,regression,78,5.333,6.3266173245721316,30.130634741122783,33.016018296446745
heuristic,regression,79,5.911,5.7544700709221726,27.060346546565253,35.06849100320522
heuristic,regression,80,5.769,6.118238357390715,32.95854011101749,33.773559123726436
heuristic,regression,81,5.772,7.161859121515041,32.86376549910227,39.758871814968224
heuristic,regression,82,5.598,7.285934552601417,29.91439060076273,35.04038588423822
heuristic,regression,83,5.777,6.494864847080211,25.442512670935677,32.49848362197945
heuristic,regression,84,5.797,5.970978368597289,25.60142178917375,35.388953415343614
heuristic,regression,85,5.63,6.108585209855396,32.17098787447125,34.48755991709466
heuristic,regression,86,5.728,6.173131486562413,32.73108114588083,35.2540646010473
heuristic,regression,87,5.75,6.097138018631818,31.915166398113296,40.901776346938
heuristic,regression,88,5.83,6.180651091353938,32.457998066811236,35.18427104773307
heuristic,regression,89,5.729,6.066785479426271,31.195142881988208,34.84164211132958
heuristic,regression,90,5.625,6.108624698537686,30.93017302368045,35.75553702221674
heuristic,regression,91,5.701,5.998554449708701,33.1639448385481,28.439478737214703
heuristic,regression,92,5.504,7.11438095466603,28.617382406680786,32.26476384689016
heuristic,regression,93,5.894,6.061245527780876,35.21539861378522,27.84224720444699
heuristic,regression,94,5.83,3.1463347476413945,17.97617751604949,37.23574557473562
heuristic,regression,95,5.669,6.087816947059798,32.52329799357153,30.46147395759236
