agent_type,condition,seed,attendance_mean,price_mean,profit_mean
bayesian,price_aware,48,4.173333333333333,2.2957697549968676,6.407299310747516
bayesian,price_blind,48,4.056666666666667,2.645730897228982,7.350496805503135
bayesian,price_aware,49,3.84,2.3341623252124233,5.956848895639355
bayesian,price_blind,49,4.3133333333333335,2.6650155211479842,7.9974673765909365
bayesian,price_aware,50,4.316666666666666,2.3077090268383533,6.812722296758176
bayesian,price_blind,50,4.453333333333333,2.830881647469928,8.918229492596353
bayesian,price_aware,51,4.42,2.221169507901127,6.850694440173905
bayesian,price_blind,51,4.416666666666667,2.6894373795105304,8.34877765765073
bayesian,price_aware,52,4.35,2.33038725446625,6.862856516720337
bayesian,price_blind,52,4.196666666666666,2.6849561874013945,7.616986582835222
bayesian,price_aware,53,4.343333333333334,2.512114692749878,7.163601792957994
bayesian,price_blind,53,4.423333333333333,2.7912367629089627,8.98880467307492
bayesian,price_aware,54,4.24,2.229007432607393,6.464740143240939
bayesian,price_blind,54,4.48,2.810115730413647,9.142742710874519
bayesian,price_aware,55,4.24,2.540249732441619,7.072514749520801
bayesian,price_blind,55,4.256666666666667,2.7647664343145126,8.325563646372027
bayesian,price_aware,56,3.88,2.3160649979673877,5.933054730384506
bayesian,price_blind,56,4.236666666666666,2.778091261599711,7.994111326662621
bayesian,price_aware,57,4.493333333333333,2.3196189515178345,6.891652352680297
bayesian,price_blind,57,4.36,2.7438026363025396,8.27599022474022
bayesian,price_aware,58,4.513333333333334,2.5323716073399014,7.493498857878151
bayesian,price_blind,58,4.303333333333334,2.795964726039627,8.374653543518173
bayesian,price_aware,59,2.1633333333333336,9.968791556171048,19.94491352451954
bayesian,price_blind,59,4.5,2.7397261000909565,8.806902399388283
bayesian,price_aware,60,4.286666666666667,2.248757311373379,6.5376959121601805
bayesian,price_blind,60,4.3133333333333335,2.6688644350973574,7.976179573245398
bayesian,price_aware,61,4.066666666666666,2.2332164859560066,6.038006791201354
bayesian,price_blind,61,4.2,2.626883301206626,7.233235680967997
bayesian,price_aware,62,4.1433333333333335,2.3456326477808767,6.290738064383365
bayesian,price_blind,62,4.23,2.740154468395969,7.893623736754351
bayesian,price_aware,63,2.9566666666666666,8.187583569019875,17.670826673405184
bayesian,price_blind,63,4.48,2.7234944882629315,8.572772700269264
bayesian,price_aware,64,4.36,2.546268371995312,7.7312714692458515
bayesian,price_blind,64,4.56,2.8923806072967144,9.421273991818289
bayesian,price_aware,65,4.36,2.330924217949017,6.956134683057735
bayesian,price_blind,65,4.533333333333333,2.6724797156861064,8.454930939085616
bayesian,price_aware,66,4.213333333333333,2.2755482819355466,6.326736863063758
bayesian,price_blind,66,4.0633333333333335,2.6244998485845024,7.25737342549038
bayesian,price_aware,67,4.363333333333333,2.220530689078681,6.753077812591678
bayesian,price_blind,67,4.386666666666667,2.71511525675102,8.433075951521133
bayesian,price_aware,68,4.273333333333333,2.5465351344492033,7.104831248342116
bayesian,price_blind,68,4.486666666666666,2.814924193134725,8.921862304157912
bayesian,price_aware,69,4.196666666666666,2.3956872135227885,6.83024426090085
bayesian,price_blind,69,4.226666666666667,2.679229957781048,8.020151587566067
bayesian,price_aware,70,1.7566666666666666,9.972303849273535,16.01266450174176
bayesian,price_blind,70,4.42,2.623919732624526,8.051707893330843
bayesian,price_aware,71,4.19,2.4895343671606533,6.668513473026693
bayesian,price_blind,71,4.486666666666666,2.8549460087248812,9.072524152358012
bayesian,price_aware,72,4.533333333333333,2.314011933745874,7.318423797733182
bayesian,price_blind,72,4.463333333333333,2.7921442347804963,9.027323195767266
bayesian,price_aware,73,4.14,2.2602482487501736,6.417940587874923
bayesian,price_blind,73,4.44,2.7492500100006394,8.469647938704822
bayesian,price_aware,74,4.29,2.2210016514793565,6.428371939250758
bayesian,price_blind,74,4.1,2.6187080862686054,7.145104132926502
bayesian,price_aware,75,4.073333333333333,2.4864381234746045,6.564062867579584
bayesian,price_blind,75,4.196666666666666,2.723002435611229,8.023093263368164
bayesian,price_aware,76,4.336666666666667,2.3605351138176682,6.974419441082822
bayesian,price_blind,76,4.3133333333333335,2.721982299964053,8.292403977020854
bayesian,price_aware,77,4.016666666666667,2.253388078233714,6.1141564189867355
bayesian,price_blind,77,4.326666666666667,2.803495760879009,8.441235994669109
bayesian,price_aware,78,4.246666666666667,2.335051230137292,6.544361575333052
bayesian,price_blind,78,4.263333333333334,2.71336514443575,7.915312319707861
bayesian,price_aware,79,4.336666666666667,2.6268935928146484,7.616267426474648
bayesian,price_blind,79,4.553333333333334,2.8162849387868203,9.258465832522646
bayesian,price_aware,80,4.243333333333333,2.3114014938163994,6.635921633298022
bayesian,price_blind,80,4.496666666666667,2.78805809614374,8.861002231886902
bayesian,price_aware,81,2.9466666666666668,8.23113691302319,17.584472982371786
bayesian,price_blind,81,4.496666666666667,2.897140135412792,9.308395246960298
bayesian,price_aware,82,4.293333333333333,2.416152633583306,7.017910703951969
bayesian,price_blind,82,4.1033333333333335,2.8524883019854146,8.14215847606994
bayesian,price_aware,83,4.38,2.619975496091725,7.67872389160665
bayesian,price_blind,83,4.476666666666667,2.882135011587031,9.222099900425837
bayesian,price_aware,84,4.18,2.3895929061015084,6.564866713364045
bayesian,price_blind,84,4.07,2.6582664867841808,7.324604435847487
bayesian,price_aware,85,4.3133333333333335,2.484077522320187,7.08901425187054
